Ident ,DIM
090055HO ,314
090055HO ,253
090055HO ,255
090055HO ,205
090055HO ,286
090055HO ,173
090056HO ,261
090056HO ,278
090056HO ,129
090056HO ,311
090056HO ,237
090057HO ,327
090057HO ,479
090058HO ,403
090058HO ,273
090058HO ,462
090059HO ,221
090059HO ,346
090060HO ,462
090060HO ,402
090060HO ,416
090061HO ,270
090061HO ,189
090063HO ,262
090063HO ,351
090063HO ,345
090063HO ,255
090063HO ,92
090064HO ,119
090065HO ,303
090065HO ,245
090065HO ,337
090065HO ,264
090065HO ,94
090065HO ,365
090065HO ,122
090069HO ,319
090069HO ,307
090069HO ,450
090069HO ,309
090069HO ,172
090069HO ,56
090070HO ,370
090070HO ,265
090072HO ,295
090072HO ,173
090073HO ,70
090074HO ,53
090078HO ,248
090078HO ,381
090079HO ,315
090079HO ,157
090080HO ,499
090080HO ,266
090082HO ,295
090082HO ,251
090082HO ,313
090082HO ,242
090082HO ,237
090082HO ,246
090082HO ,65
090086HO ,265
090086HO ,235
090086HO ,456
090088HO   ,217
090088HO   ,273
090088HO   ,239
090088HO   ,267
090088HO   ,222
090088HO   ,247
090088HO   ,195
090089HO ,247
090089HO ,262
090090HO ,297
090090HO ,229
090090HO ,224
090090HO ,269
090090HO ,281
090091CA   ,305
090091CA   ,350
090091CA   ,281
090091CA   ,254
090091CA   ,233
090091CA   ,82
090091HO ,185
090091HO ,336
090092HO ,291
090092HO ,211
090092HO ,302
090092HO ,298
090092HO ,232
090094HO ,264
090094HO ,260
090094HO ,234
090094HO ,310
090094HO ,333
090094HO ,359
090097HO ,259
090097HO ,276
090097HO ,278
090097HO ,303
090097HO ,225
090097HO ,33
090099HO ,277
090099HO ,289
090099HO ,246
090099HO ,244
090099HO ,311
090099HO ,288
090101HO ,258
090101HO ,262
090101HO ,245
090101HO ,263
090101HO ,291
090101HO ,196
090101HO ,215
090103HO ,352
090103HO ,247
090103HO ,270
090103HO ,206
090103HO ,262
090103HO ,295
090103HO ,71
090106HO ,296
090106HO ,278
090106HO ,310
090106HO ,241
090106HO ,206
090106HO ,284
090107HO ,126
090107HO ,350
090108HO ,271
090108HO ,309
090108HO ,309
090108HO ,221
090108HO ,311
090109HO ,244
090109HO ,283
090109HO ,287
090109HO ,208
090110HO ,273
090110HO ,240
090110HO ,286
090110HO ,318
090110HO ,290
090110HO ,249
090124HO ,404
090124HO ,328
090124HO ,280
090124HO ,321
090124HO ,276
090124HO ,89
090127HO ,379
090127HO ,276
090127HO ,341
090127HO ,282
090127HO ,281
090127HO ,253
090128HO ,278
090128HO ,272
090128HO ,263
090128HO ,257
090128HO ,325
090128HO ,214
090131HO ,294
090131HO ,391
090131HO ,258
090131HO ,263
090131HO ,281
090131HO ,287
090131HO ,92
090132HO ,273
090132HO ,275
090132HO ,301
090132HO ,344
090132HO ,236
090132HO ,247
090137HO ,243
090137HO ,249
090137HO ,285
090137HO ,347
090137HO ,292
090137HO ,198
090137HO ,115
090140HO ,314
090140HO ,217
090144HO ,294
090144HO ,205
090145HO ,353
090145HO ,209
090145HO ,61
090147HO ,279
090147HO ,296
090148HO ,308
090148HO ,413
090150HO ,263
090150HO ,266
090150HO ,266
090150HO ,246
090150HO ,300
090150HO ,293
090151HO ,261
090155HO ,243
090155HO ,278
090155HO ,266
090155HO ,240
090155HO ,204
090155HO ,95
090156HO ,138
090156HO ,283
090156HO ,293
090156HO ,275
090156HO ,254
090156HO ,281
090156HO ,281
090157HO ,441
090157HO ,514
090157HO ,335
090159HO ,295
090159HO ,220
090159HO ,265
090159HO ,195
090159HO ,279
090159HO ,272
090161HO ,303
090161HO ,264
090161HO ,275
090161HO ,254
090161HO ,279
090161HO ,438
090162HO ,356
090162HO ,211
090162HO ,274
090162HO ,284
090162HO ,230
090162HO ,277
090163CP   ,228
090163CP   ,198
090163CP   ,322
090163CP   ,314
090164HO ,332
090164HO ,273
090164HO ,412
090164HO ,262
090164HO ,359
090167HO ,288
090167HO ,238
090167HO ,255
090167HO ,269
090167HO ,261
090167HO ,333
090170HO ,293
090170HO ,255
090170HO ,266
090170HO ,407
090170HO ,276
090174HO ,350
090174HO ,234
090174HO ,299
090174HO ,79
090175HO ,223
090175HO ,264
090175HO ,279
090175HO ,273
090175HO ,276
090175HO ,290
090175HO ,297
090177HO ,279
090177HO ,327
090177HO ,351
090177HO ,252
090177HO ,373
090177HO ,280
090178HO ,313
090179HO ,274
090179HO ,264
090179HO ,253
090179HO ,131
090179HO ,217
090179HO ,220
090181HO ,269
090181HO ,246
090181HO ,9
090186HO ,144
090186HO ,267
090189HO ,237
090189HO ,314
090189HO ,326
090189HO ,284
090189HO ,337
090189HO ,322
090193HO ,436
090193HO ,202
090195HO ,372
090198HO ,254
090198HO ,280
090198HO ,292
090198HO ,358
090198HO ,271
090198HO ,77
090203HO ,271
090203HO ,244
090203HO ,116
090205HO ,392
090205HO ,453
090206HO ,326
090206HO ,233
090206HO ,251
090206HO ,248
090206HO ,243
090206HO ,253
090206HO ,86
090217HO ,381
090217HO ,415
090217HO ,436
090218HO ,292
090218HO ,201
090218HO ,223
090218HO ,260
090218HO ,324
090219HO ,273
090219HO ,267
090219HO ,251
090219HO ,285
090219HO ,276
090219HO ,96
090226HO ,0
090227HO ,185
090227HO ,139
090228HO ,266
090228HO ,287
090228HO ,357
090228HO ,286
090228HO ,247
090228HO ,200
090232HO ,277
090232HO ,187
090233HO ,154
090233HO ,62
090238HO ,577
090247HO ,293
090247HO ,232
090247HO ,265
090250HO ,238
090250HO ,52
090267HO ,223
090267HO ,190
090267HO ,215
090267HO ,362
090267HO ,215
090267HO ,211
090269HO ,271
090269HO ,380
090269HO ,306
090269HO ,164
090269HO ,348
090269HO ,87
090270HO ,269
090270HO ,314
090270HO ,385
090270HO ,509
090273HO ,247
090273HO ,273
090273HO ,203
090273HO ,204
090273HO ,255
090273HO ,331
090273HO ,277
090275HO ,282
090275HO ,4
090275HO ,323
090275HO ,313
090275HO ,261
090275HO ,333
090277HO ,243
090277HO ,300
090277HO ,279
090277HO ,267
090277HO ,345
090277HO ,231
090294HO ,17
090294HO ,270
090294HO ,199
090297HO ,321
090297HO ,229
090297HO ,197
090302HO ,110
090303HO ,196
090303HO ,255
090331HO ,121
090332HO ,449
090332HO ,220
090339HO ,242
090339HO ,274
090339HO ,264
090339HO ,248
090339HO ,313
090343HO ,284
090343HO ,193
090347HO ,101
090347HO ,282
090351HO ,228
090351HO ,197
090351HO ,154
090351HO ,233
090351HO ,38
090351HO ,253
090356HO ,284
090356HO ,202
090356HO ,284
090356HO ,306
090356HO ,282
090368HO ,176
090369HO ,314
090369HO ,199
090369HO ,108
090370HO ,262
090374HO ,309
090374HO ,243
090374HO ,268
090378HO ,283
090378HO ,418
090378HO ,282
090378HO ,378
090378HO ,99
090384HO ,318
090384HO ,235
090384HO ,279
090384HO ,179
090384HO ,274
090384HO ,127
090385HO ,366
090385HO ,420
090386HO ,172
090386HO ,211
090386HO ,232
090386HO ,226
090386HO ,217
090386HO ,244
090386HO ,244
090386HO ,230
090387HO ,54
090388HO ,347
090388HO ,416
090388HO ,347
090389HO ,268
090389HO ,256
090389HO ,109
090389HO ,250
090389HO ,342
090389HO ,253
090399HO ,429
090399HO ,292
090399HO ,471
090399HO ,314
090399HO ,257
090399HO ,64
090400HO ,314
090400HO ,236
090400HO ,197
090400HO ,263
090400HO ,298
090400HO ,242
090401HO ,284
090401HO ,245
090401HO ,302
090401HO ,242
090401HO ,294
090401HO ,380
090402HO ,426
090402HO ,185
090404HO ,368
090404HO ,252
090405HO ,282
090405HO ,322
090405HO ,249
090405HO ,217
090406HO ,337
090406HO ,321
090406HO ,265
090406HO ,383
090406HO ,338
090406HO ,303
090407HO ,256
090407HO ,533
090407HO ,334
090416HO ,173
090417HO ,98
090417HO ,158
090417HO ,279
090417HO ,115
090417HO ,255
090418HO ,257
090418HO ,280
090418HO ,62
090421HO ,290
090421HO ,330
090422HO ,299
090422HO ,135
090424HO ,300
090424HO ,231
090424HO ,281
090425HO ,282
090427HO ,166
090427HO ,239
090427HO ,151
090427HO ,271
090427HO ,187
090427HO ,266
090427HO ,225
090428HO ,256
090428HO ,240
090431HO ,287
090431HO ,212
090431HO ,242
090431HO ,207
090440HO ,260
090441HO ,484
090441HO ,418
090441HO ,316
090441HO ,195
090442HO ,512
090449HO ,152
090449HO ,267
090449HO ,214
090449HO ,305
090449HO ,244
090449HO ,245
090449HO ,88
090450HO ,282
090450HO ,221
090451HO ,324
090451HO ,296
090452HO ,241
090452HO ,222
090452HO ,225
090452HO ,233
090452HO ,256
090452HO ,280
090454HO ,339
090454HO ,308
090454HO ,165
090454HO ,155
090454HO ,161
090455HO ,277
090455HO ,252
090455HO ,411
090455HO ,430
090455HO ,253
090455HO ,264
090456HO ,320
090457HO ,296
