Ident,TotLec
110904HO  ,166.3000031
110904HO  ,137.3000031
110904HO  ,115.3000031
110904HO  ,106.8000031
110904HO  ,78.19999695
110904HO  ,64.69999695
110904HO  ,45.70000076
110915HO  ,178.1000061
110915HO  ,194.6999969
110915HO  ,35.70000076
110915HO  ,61.79999924
110915HO  ,110.4000015
110915HO  ,197.8000031
110915HO  ,203.6000061
110915HO  ,242.3000031
110915HO  ,249
110915HO  ,246.8000031
110915HO  ,508.8999939
110915HO  ,493.8999939
110915HO  ,220.3999939
110915HO  ,213.8999939
110915HO  ,227.6999969
110915HO  ,240.3000031
110915HO  ,259.7999878
110915HO  ,267.7999878
110915HO  ,238.6999969
110915HO  ,210.3999939
110915HO  ,167
110915HO  ,142.3999939
110915HO  ,0
110915HO  ,323.3999939
110915HO  ,286.1000061
110915HO  ,283.7999878
110915HO  ,284.7999878
110915HO  ,326.1000061
110915HO  ,260.7999878
110915HO  ,266.7999878
110915HO  ,257.1000061
110915HO  ,177.6999969
110915HO  ,202.3999939
110915HO  ,145.6999969
110915HO  ,55.40000153
110915HO  ,262.1000061
110915HO  ,277.5
110915HO  ,179
110915HO  ,269.3999939
110915HO  ,286
110915HO  ,272.7000122
110915HO  ,303.8999939
110915HO  ,330.3999939
110915HO  ,303
110915HO  ,290
110915HO  ,268.2000122
110915HO  ,255.5
110915HO  ,256.5
110915HO  ,172.6000061
110915HO  ,79.69999695
110915HO  ,53.70000076
110915HO  ,0
110915HO  ,257.3999939
110915HO  ,326.6000061
110915HO  ,335.2999878
110915HO  ,326.8999939
110915HO  ,294.3999939
110915HO  ,307.7000122
110915HO  ,321.7999878
110915HO  ,282.6000061
110915HO  ,257.1000061
110915HO  ,278.7000122
110915HO  ,274.7999878
110915HO  ,228.1999969
110915HO  ,236.1000061
110915HO  ,169.8000031
110915HO  ,161.3000031
110915HO  ,111.5999985
110915HO  ,90
110915HO  ,0
110915HO  ,134.6000061
110915HO  ,219.5
110915HO  ,287.2999878
110915HO  ,325.5
110915HO  ,269.1000061
110915HO  ,249.1000061
110915HO  ,221.5
110915HO  ,162.1000061
110915HO  ,129.1000061
110915HO  ,128.3999939
110915HO  ,102.6999969
110919HO  ,0
110919HO  ,43.20000076
110919HO  ,40.70000076
110919HO  ,29.5
110919HO  ,60.90000153
110919HO  ,129
110919HO  ,69.90000153
110923HO  ,135.3000031
110923HO  ,15.5
110923HO  ,194.8999939
110923HO  ,190.8000031
110923HO  ,182.3999939
110923HO  ,203.6000061
110923HO  ,206.3999939
110923HO  ,200.1000061
110923HO  ,373.7999878
110923HO  ,384.8999939
110923HO  ,203.8000031
110923HO  ,190.3999939
110923HO  ,186.5
110923HO  ,205.6999969
110923HO  ,187
110923HO  ,197.6000061
110923HO  ,197.8999939
110923HO  ,184.6999969
110923HO  ,159.5
110923HO  ,135.8999939
110923HO  ,156.1999969
110923HO  ,190.6999969
110923HO  ,172.5
110923HO  ,147.8000031
110923HO  ,145.5
110923HO  ,165.8999939
110923HO  ,119.4000015
110923HO  ,133.6000061
110923HO  ,118.9000015
110923HO  ,100.4000015
110923HO  ,56.20000076
110923HO  ,54.09999847
110923HO  ,38.59999847
110924HO  ,19.70000076
110924HO  ,17.60000038
110924HO  ,49.09999847
110924HO  ,113.1999969
110924HO  ,227.8000031
110924HO  ,251.3999939
110924HO  ,268.3999939
110924HO  ,270.1000061
110924HO  ,309
110924HO  ,293.8999939
110924HO  ,262.8999939
110924HO  ,234.1000061
110924HO  ,234.3999939
110924HO  ,250.3000031
110924HO  ,255.6000061
110924HO  ,230.6999969
110924HO  ,217.3000031
110924HO  ,195.8999939
110924HO  ,175.3999939
110924HO  ,147.1000061
110924HO  ,85.59999847
110924HO  ,93.30000305
110924HO  ,55.40000153
110924HO  ,10.60000038
110924HO  ,18.79999924
110924HO  ,23.5
110924HO  ,26
110926HO  ,154
110926HO  ,191.3000031
110926HO  ,39.40000153
110926HO  ,85
110926HO  ,108
110926HO  ,208.6000061
110926HO  ,175
